tweet_id	tweet_text
tweet-ar-003	"رسميا 🚨 

اللاعب نغولو كانتي يعتزل اللعب دوليا بسبب اسائة رئيس فرنسا للرسول صلى الله عليه وسلم 😍❤
ليصبح ثالث لاعب بالمنتخب الفرنسي يعتزل دولياً اعتراضاً علي اساءة رسول اللّه خير البريه وسبقه بول بوغبا وعثمان ديمبيلي
#نازلين_لأجل_النبي
#الا_رسوال_الله https://t.co/3VgApG6C2C"
tweet-ar-004	هذه تركيا التى اباحت زواج الرجل بالرجل https://t.co/1YSURixZSU
tweet-ar-006	البربر في دول المغرب العربي يشعلون الحرب علي فرنسا مناصره نبينا محمد صل الله عليه وسلم https://t.co/8V49JS2MhJ
tweet-ar-008	#الا_رسوال_الله هجوم الجزائريين على الفرنسيين في باريس ورمي منتجاتهم في الشارع https://t.co/GDNDrKMNX5
tweet-ar-009	اعتقال المسلم الذي قتل الفرنسي المسيئ للرسول صلى الله عليه وسلم . اعتقاله وقتله فيما بعد وهو يردد الشهادة و نسأل الله أن يسكنه الجنة مع الصديقين والشهداء https://t.co/WNFoIGQx4b
tweet-ar-010	"#الا_رسوال_الله يصدح بها أهل القدس من ساحات المسجد الأقصى المبارك .. فليسمعها ماكرون كلب الروم وليصل صداها كل الدنيا ✌️❤️
#إلا_رسول_الله_يا_فرنسا https://t.co/5MztKf9yRv"
tweet-ar-013	"زوجة الرئيس الفرنسي الارعن تصرح ان الحجاب يخيف الأطفال.
قلدكم الله ما هي تخيف الكبير قبل الصغير https://t.co/O60hrOSmuA"
tweet-ar-014	"رسميا بول بوجبا يعلن اعتزاله رسميا من المنتخب الفرنسي بسبب الاساءه لرسول الله صلي الله عليه وسلم ❤ 
اللهم اعز الاسلام والمسلمين ❤
 #إلارسول_الله https://t.co/Nh54LEx4BP"
tweet-ar-022	"#مورك بإختصار 

مت هنا عبر الثوار و حرروا المناطق و هذه بقايا آثار الدبابات التي ارتكبت المجازر ضد المدنيين .

نحتاج إلى ذلك الزمان https://t.co/SnVKRzgokD"
tweet-ar-023	أشعة اكس تبين العملية أثناء التدخين 🚬 https://t.co/yJz54DHXgy
